0;[[1.6], [1.1], [1.2999999999999998]]
1;[[1.46], [1.1500000000000001], [1.3899999999999997]]
2;[[1.408], [1.181], [1.4109999999999998]]
3;[[1.3861999999999999], [1.2037000000000002], [1.4100999999999997]]
4;[[1.37512], [1.22195], [1.4029299999999996]]
5;[[1.3681459999999999], [1.2372670000000001], [1.3945869999999996]]
6;[[1.3629904], [1.2503549], [1.3866546999999996]]
7;[[1.3588261399999997], [1.26161845], [1.3795554099999996]]
8;[[1.3553241519999997], [1.2713392190000001], [1.3733366289999995]]
9;[[1.3523294017999996], [1.2797377123], [1.3679328858999995]]
10;[[1.3497512780799996], [1.28699688125], [1.3632518406699994]]
11;[[1.3475260071739994], [1.293272320933], [1.3592016718929993]]
12;[[1.3456033379655994], [1.2986976895571], [1.3556989724772992]]
13;[[1.3439414634782594], [1.30338825439795], [1.3526702821237893]]
14;[[1.3425047881638874], [1.307443575305981], [1.3500516365301303]]
15;[[1.3412627213879695], [1.3109496965917717], [1.3477875820202574]]
16;[[1.3401888770980361], [1.3139809990713915], [1.345830123830571]]
17;[[1.3392604633151322], [1.316601786874056], [1.3441377498108105]]
18;[[1.338457781619728], [1.3188676545181637], [1.342674563862107]]
19;[[1.3377638035822852], [1.3208266672283202], [1.3414095291893933]]
